,Date,Open,High,Low,Close,Adj Close,Volume
0,2017-01-03,2.609999895095825,2.659250020980835,2.484499931335449,2.5502500534057617,2.5128941535949707,1501996000
1,2017-01-04,2.5850000381469727,2.637500047683716,2.538249969482422,2.6097500324249268,2.5715229511260986,1199220000
2,2017-01-05,2.6132500171661377,2.6454999446868896,2.526249885559082,2.5434999465942383,2.506242513656616,984296000
3,2017-01-06,2.5712499618530273,2.606250047683716,2.5299999713897705,2.577500104904175,2.539745569229126,822856000
4,2017-01-09,2.5875000953674316,2.700000047683716,2.5875000953674316,2.681999921798706,2.6427149772644043,916248000
5,2017-01-10,2.6952500343322754,2.729749917984009,2.640749931335449,2.661750078201294,2.6227610111236572,880920000
6,2017-01-11,2.6500000953674316,2.6549999713897705,2.603749990463257,2.628999948501587,2.5904908180236816,525664000
7,2017-01-12,2.60575008392334,2.617500066757202,2.5404999256134033,2.5859999656677246,2.5481207370758057,625616000
8,2017-01-13,2.5899999141693115,2.625,2.5764999389648438,2.585750102996826,2.547874927520752,457820000
9,2017-01-17,2.575000047683716,2.5799999237060547,2.5142500400543213,2.527750015258789,2.490724563598633,580612000
10,2017-01-18,2.50600004196167,2.580749988555908,2.477750062942505,2.5737500190734863,2.5360498428344727,654424000
11,2017-01-19,2.5767500400543213,2.6614999771118164,2.57450008392334,2.628999948501587,2.5904908180236816,644872000
12,2017-01-20,2.6519999504089355,2.6700000762939453,2.578000068664551,2.600250005722046,2.562162399291992,492024000
13,2017-01-23,2.5950000286102295,2.6475000381469727,2.5924999713897705,2.6272499561309814,2.5887672901153564,369904000
14,2017-01-24,2.637500047683716,2.689500093460083,2.622499942779541,2.6832499504089355,2.6439456939697266,428052000
15,2017-01-25,2.726249933242798,2.7325000762939453,2.658250093460083,2.6947500705718994,2.655278205871582,522760000
16,2017-01-26,2.697499990463257,2.7487499713897705,2.6675000190734863,2.7412500381469727,2.701097011566162,458800000
17,2017-01-27,2.7482500076293945,2.7972500324249268,2.721250057220459,2.794250011444092,2.7533199787139893,471996000
18,2017-01-30,2.7730000019073486,2.77524995803833,2.6977500915527344,2.750499963760376,2.7102115154266357,496004000
19,2017-01-31,2.723750114440918,2.7512500286102295,2.7049999237060547,2.7295000553131104,2.689519166946411,362756000
20,2017-02-01,2.7644999027252197,2.8529999256134033,2.746500015258789,2.848750114440918,2.8070218563079834,590004000
21,2017-02-02,2.8324999809265137,2.8935000896453857,2.801500082015991,2.8847498893737793,2.8424947261810303,483240000
22,2017-02-03,2.8862500190734863,2.8975000381469727,2.8475000858306885,2.859499931335449,2.817614793777466,372744000
23,2017-02-06,2.8499999046325684,2.9332499504089355,2.8499999046325684,2.9327499866485596,2.88979172706604,506768000
24,2017-02-07,2.9674999713897705,3.0230000019073486,2.947499990463257,2.978250026702881,2.9346256256103516,746224000
25,2017-02-08,2.9600000381469727,2.9827499389648438,2.9094998836517334,2.965250015258789,2.9218156337738037,449580000
26,2017-02-09,2.9714999198913574,2.9765000343322754,2.890000104904175,2.9094998836517334,2.866881847381592,842568000
27,2017-02-10,2.9982500076293945,3.0174999237060547,2.815000057220459,2.8405001163482666,2.7988932132720947,1651092000
28,2017-02-13,2.834749937057495,2.8494999408721924,2.7049999237060547,2.7095000743865967,2.669811487197876,1180724000
29,2017-02-14,2.6997499465942383,2.7537500858306885,2.657249927520752,2.7195000648498535,2.6796650886535645,850632000
30,2017-02-15,2.7225000858306885,2.744999885559082,2.694000005722046,2.7249999046325684,2.685084819793701,373020000
31,2017-02-16,2.7347500324249268,2.7360000610351562,2.6414999961853027,2.6812500953674316,2.6419756412506104,647176000
32,2017-02-17,2.6675000190734863,2.6852500438690186,2.6197500228881836,2.6807498931884766,2.6414828300476074,563740000
33,2017-02-21,2.705749988555908,2.780750036239624,2.7054998874664307,2.776750087738037,2.736076593399048,551952000
34,2017-02-22,2.7855000495910645,2.7950000762939453,2.7497498989105225,2.7690000534057617,2.7318835258483887,433772000
35,2017-02-23,2.637500047683716,2.659749984741211,2.492000102996826,2.5122499465942383,2.478574752807617,1592888000
36,2017-02-24,2.4267499446868896,2.549999952316284,2.3924999237060547,2.5364999771118164,2.5025007724761963,1029904000
37,2017-02-27,2.555000066757202,2.625499963760376,2.5390000343322754,2.6102499961853027,2.575261354446411,715400000
38,2017-02-28,2.619999885559082,2.630000114440918,2.5195000171661377,2.5369999408721924,2.5029938220977783,625360000
39,2017-03-01,2.594749927520752,2.609250068664551,2.527750015258789,2.5697500705718994,2.535304069519043,504804000
40,2017-03-02,2.5567500591278076,2.571000099182129,2.472249984741211,2.4749999046325684,2.4418246746063232,754332000
41,2017-03-03,2.464250087738037,2.469249963760376,2.4054999351501465,2.460750102996826,2.427765369415283,864692000
42,2017-03-06,2.4240000247955322,2.452500104904175,2.3792500495910645,2.4417500495910645,2.40902042388916,883568000
43,2017-03-07,2.4417500495910645,2.4882500171661377,2.4287500381469727,2.4684998989105225,2.435410737991333,603400000
44,2017-03-08,2.5174999237060547,2.5325000286102295,2.461750030517578,2.4639999866485596,2.4309725761413574,638712000
45,2017-03-09,2.4477500915527344,2.4862499237060547,2.434999942779541,2.4635000228881836,2.430478572845459,478060000
46,2017-03-10,2.4902501106262207,2.5022499561309814,2.4595000743865967,2.4779999256134033,2.44478440284729,499740000
47,2017-03-13,2.4885001182556152,2.5562500953674316,2.4877500534057617,2.546250104904175,2.512119770050049,774136000
48,2017-03-14,2.5592501163482666,2.5687499046325684,2.5117499828338623,2.5445001125335693,2.510392904281616,522016000
49,2017-03-15,2.5562500953674316,2.5747499465942383,2.507999897003174,2.5637500286102295,2.5293846130371094,615036000
50,2017-03-16,2.57450008392334,2.595750093460083,2.5602500438690186,2.595249891281128,2.560462236404419,523100000
51,2017-03-17,2.61299991607666,2.6530001163482666,2.595249891281128,2.651750087738037,2.6162056922912598,1119688000
52,2017-03-20,2.6695001125335693,2.7402501106262207,2.653249979019165,2.7362499237060547,2.6995725631713867,748568000
53,2017-03-21,2.71875,2.749000072479248,2.6397500038146973,2.647749900817871,2.612258195877075,913484000
54,2017-03-22,2.6364998817443848,2.7065000534057617,2.632499933242798,2.7017500400543213,2.6655352115631104,616764000
55,2017-03-23,2.6937499046325684,2.7139999866485596,2.6675000190734863,2.6772499084472656,2.6413626670837402,533940000
56,2017-03-24,2.724250078201294,2.7322499752044678,2.6605000495910645,2.6867499351501465,2.650735378265381,439500000
57,2017-03-27,2.6394999027252197,2.710249900817871,2.5894999504089355,2.706249952316284,2.6699743270874023,506644000
58,2017-03-28,2.7074999809265137,2.722249984741211,2.6817500591278076,2.6922500133514404,2.6561617851257324,432444000
59,2017-03-29,2.6997499465942383,2.712249994277954,2.6812500953674316,2.683500051498413,2.6475300788879395,349992000
60,2017-03-30,2.6907498836517334,2.75,2.684999942779541,2.734999895095825,2.6983394622802734,525532000
61,2017-03-31,2.725250005722046,2.7472500801086426,2.7100000381469727,2.723249912261963,2.6867475509643555,440808000
62,2017-04-03,2.723750114440918,2.7412500381469727,2.685499906539917,2.7095000743865967,2.6731810569763184,445232000
